path	category	domain	lines	hash_before	reviewer	review_status	reviewed_ranges	finding_ids	test_ids	hash_after	final_status	notes
app/Services/Vendor/VendorMapService.php	BACKEND	vendor-map	114	-	session	REVIEWED	1-114		VendorMapFeatureTest	-	OK	CP0
app/Services/Vendor/VendorAnalyticsService.php	BACKEND	vendor-analytics	283	-	session	REVIEWED	1-283		VendorAnalyticsTest	-	OK	CP0
app/Http/Requests/VendorMapRequest.php	BACKEND	vendor-map	47	-	session	REVIEWED	1-47		VendorMapFeatureTest	-	OK	CP0/SHARD1
app/Http/Requests/VendorAnalyticsRequest.php	BACKEND	vendor-analytics	72	-	session	REVIEWED	1-72		VendorAnalyticsTest	-	OK	CP0/SHARD1
app/Http/Controllers/Api/Admin/VendorAnalyticsController.php	BACKEND	vendor-analytics	57	-	session	REVIEWED	1-57		VendorAnalyticsTest	-	OK	CP0
app/Http/Controllers/Api/Syndicate/VendorAnalyticsController.php	BACKEND	vendor-analytics	51	-	session	REVIEWED	1-51		VendorAnalyticsTest	-	OK	CP0
app/Services/Syndicate/SyndicateDashboardService.php	BACKEND	syndicate	482	-	session	REVIEWED	1-482		VendorMapFeatureTest,VendorAnalyticsTest	-	OK	CP0
app/Http/Controllers/Api/Admin/VendorController.php	BACKEND	admin-vendor	diff-only	-	session	PENDING	-		-	-	NEEDS_FULL_READ	diff only in CP0, promote in Shard 3
app/Http/Controllers/Api/Syndicate/DashboardController.php	BACKEND	syndicate	diff-only	-	session	PENDING	-		-	-	NEEDS_FULL_READ	diff only in CP0, promote in Shard 4
app/Http/Controllers/Api/Vendor/VendorProfileController.php	BACKEND	vendor	diff-only	-	session	PENDING	-		-	-	NEEDS_FULL_READ	diff only in CP0, promote in Shard 5
app/Services/Admin/VendorService.php	BACKEND	admin-vendor	diff-only	-	session	PENDING	-		-	-	NEEDS_FULL_READ	diff only in CP0, promote in Shard 3
app/Services/Commerce/VendorLedgerService.php	BACKEND	commerce	diff-only	-	session	PENDING	-		-	-	NEEDS_FULL_READ	diff only in CP0, promote in Shard 2
app/Services/Auth/AuthService.php	BACKEND	auth	grep-only	-	session	PENDING	-		-	-	NEEDS_FULL_READ	grep-confirmed coord persistence only, promote in Shard 2
resources/js/Components/maps/leaflet.js	FRONTEND	vendor-map	48	-	session	REVIEWED	1-48		VendorMapFeatureTest	-	OK	CP0
resources/js/Components/maps/VendorMap.jsx	FRONTEND	vendor-map	164	-	session	REVIEWED	1-164		VendorMapFeatureTest	-	OK	CP0
resources/js/Components/maps/LocationPicker.jsx	FRONTEND	vendor-map	165	-	session	REVIEWED	1-165		VendorMapFeatureTest	-	OK	SHARD1(continued)
bootstrap/app.php	CONFIG	routing/middleware	138	-	session	REVIEWED	1-138		AdversarialSecurityAuditTest,ApiSecurityAndRateLimitTest	-	OK	SHARD1
bootstrap/providers.php	CONFIG	providers	7	-	session	REVIEWED	1-7		-	-	OK	SHARD1
bootstrap/cache/.gitignore	GENERATED	cache	1	-	session	EXCLUDED_WITH_REASON	-		-	-	OK	cache dir marker, not source
app/Http/Middleware/EnsureUserIsAdmin.php	BACKEND	auth-middleware	29	-	session	REVIEWED	1-29		AdversarialSecurityAuditTest	-	OK	SHARD1
app/Http/Middleware/EnsureUserIsEmployee.php	BACKEND	auth-middleware	32	-	session	REVIEWED	1-32		-	-	OK	SHARD1
app/Http/Middleware/EnsureUserIsSyndicate.php	BACKEND	auth-middleware	47	-	session	REVIEWED	1-47		VendorMapFeatureTest	-	OK	SHARD1
app/Http/Middleware/EnsureUserIsVendor.php	BACKEND	auth-middleware	51	-	session	REVIEWED	1-51		-	-	OK	SHARD1
app/Http/Middleware/ApplyUserTimezone.php	BACKEND	middleware	30	-	session	REVIEWED	1-30		-	-	OK	SHARD1
app/Http/Middleware/AssignRequestId.php	BACKEND	middleware	29	-	session	REVIEWED	1-29		-	-	OK	SHARD1
app/Http/Middleware/CacheResponse.php	BACKEND	middleware	26	-	session	REVIEWED	1-26		-	-	OK	SHARD1
app/Http/Middleware/EnsureProductTypeSelected.php	BACKEND	middleware	59	-	session	REVIEWED	1-59		ProductTypeAndHomepageRepairTest	-	OK	SHARD1
app/Http/Middleware/SetLocale.php	BACKEND	middleware	82	-	session	REVIEWED	1-82		-	-	OK	SHARD1
app/Http/Middleware/HandleInertiaRequests.php	BACKEND	middleware	92	-	session	REVIEWED	1-92		-	-	OK	CP0/SHARD1
app/Policies/InvoicePolicy.php	BACKEND	policy	25	-	session	REVIEWED	1-25		-	NEEDS_TRACE(InvoiceController)	OK	SHARD1
app/Policies/OrderPolicy.php	BACKEND	policy	76	-	session	REVIEWED	1-76		-	NEEDS_TRACE(OrderController x3)	OK	SHARD1
app/Policies/OrderReturnPolicy.php	BACKEND	policy	75	-	session	REVIEWED	1-75		-	NEEDS_TRACE(OrderReturnController)	OK	SHARD1
app/Policies/ProductDocumentPolicy.php	BACKEND	policy	39	-	session	REVIEWED	1-39		-	NEEDS_TRACE(ProductDocumentController)	OK	SHARD1
app/Policies/ProductPolicy.php	BACKEND	policy	70	-	session	REVIEWED	1-70		-	NEEDS_TRACE(ProductController)	OK	SHARD1
app/Policies/ProductReviewPolicy.php	BACKEND	policy	26	-	session	REVIEWED	1-26		-	NEEDS_TRACE(ProductReviewController)	OK	SHARD1
app/Policies/RefundPolicy.php	BACKEND	policy	39	-	session	REVIEWED	1-39		-	NEEDS_TRACE(RefundController)	OK	SHARD1
app/Policies/ShipmentPolicy.php	BACKEND	policy	42	-	session	REVIEWED	1-42		-	NEEDS_TRACE(ShipmentController)	OK	SHARD1
app/Policies/UserAddressPolicy.php	BACKEND	policy	32	-	session	REVIEWED	1-32		-	NEEDS_TRACE(UserAddressController)	OK	SHARD1
app/Policies/VendorDocumentPolicy.php	BACKEND	policy	40	-	session	REVIEWED	1-40		-	NEEDS_TRACE(VendorDocumentController)	OK	SHARD1
app/Http/Requests/Admin/Concerns/NormalizesDateTimeInputs.php	BACKEND	requests	45	-	session	REVIEWED	1-45		-	-	OK	SHARD1
app/Http/Requests/Admin/ReplyContactMessageRequest.php	BACKEND	requests	35	-	session	REVIEWED	1-35		-	-	OK	SHARD1
app/Http/Requests/Admin/SendNotificationRequest.php	BACKEND	requests	47	-	session	REVIEWED	1-47		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreCategoryRequest.php	BACKEND	requests	50	-	session	REVIEWED	1-50		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreCityRequest.php	BACKEND	requests	42	-	session	REVIEWED	1-42		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreCouponRequest.php	BACKEND	requests	46	-	session	REVIEWED	1-46		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreProductRequest.php	BACKEND	requests	64	-	session	REVIEWED	1-64		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreSubcategoryRequest.php	BACKEND	requests	46	-	session	REVIEWED	1-46		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreSyndicateRequest.php	BACKEND	requests	44	-	session	REVIEWED	1-44		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreUserRequest.php	BACKEND	requests	60	-	session	REVIEWED	1-60		-	-	OK	SHARD1
app/Http/Requests/Admin/StoreVendorRequest.php	BACKEND	requests	79	-	session	REVIEWED	1-79		-	-	OK	SHARD1(full,was diff-only)
app/Http/Requests/Admin/UpdateCategoryRequest.php	BACKEND	requests	48	-	session	REVIEWED	1-48		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateCityRequest.php	BACKEND	requests	44	-	session	REVIEWED	1-44		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateCouponRequest.php	BACKEND	requests	46	-	session	REVIEWED	1-46		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateFooterSettingRequest.php	BACKEND	requests	31	-	session	REVIEWED	1-31		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateProductRequest.php	BACKEND	requests	59	-	session	REVIEWED	1-59		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateSubcategoryRequest.php	BACKEND	requests	49	-	session	REVIEWED	1-49		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateSyndicateRequest.php	BACKEND	requests	47	-	session	REVIEWED	1-47		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateUserRequest.php	BACKEND	requests	46	-	session	REVIEWED	1-46	F-SHARD1-01		-	OK	SHARD1
app/Http/Requests/Admin/UpdateVendorCommissionPaidRequest.php	BACKEND	requests	41	-	session	REVIEWED	1-41		-	-	OK	SHARD1
app/Http/Requests/Admin/UpdateVendorRequest.php	BACKEND	requests	73	-	session	REVIEWED	1-73		-	-	OK	SHARD1(full,was diff-only)
app/Http/Requests/Auth/LoginRequest.php	BACKEND	requests	42	-	session	REVIEWED	1-42		-	-	OK	SHARD1
app/Http/Requests/Auth/RegisterRequest.php	BACKEND	requests	115	-	session	REVIEWED	1-115		-	-	OK	SHARD1(full,was diff-only)
app/Http/Requests/Concerns/InteractsWithProductDetails.php	BACKEND	requests	262	-	session	REVIEWED	1-262		-	-	OK	SHARD1
app/Http/Requests/Employee/UpdateProductRequest.php	BACKEND	requests	29	-	session	REVIEWED	1-29		-	NEEDS_TRACE(EmployeeProductController)	OK	SHARD1
app/Http/Requests/StoreContactMessageRequest.php	BACKEND	requests	39	-	session	REVIEWED	1-39		-	-	OK	SHARD1
app/Http/Requests/StoreOrderRequest.php	BACKEND	requests	47	-	session	REVIEWED	1-47		-	-	OK	SHARD1
app/Http/Requests/StoreProductReviewRequest.php	BACKEND	requests	37	-	session	REVIEWED	1-37		-	-	OK	SHARD1
app/Http/Requests/StoreProductTypePreferenceRequest.php	BACKEND	requests	42	-	session	REVIEWED	1-42		-	-	OK	SHARD1
app/Http/Requests/StoreStartupPreferenceRequest.php	BACKEND	requests	34	-	session	REVIEWED	1-34		-	-	OK	SHARD1
app/Http/Requests/StoreUserAddressRequest.php	BACKEND	requests	42	-	session	REVIEWED	1-42		-	-	OK	SHARD1
app/Http/Requests/UpdateProfileRequest.php	BACKEND	requests	49	-	session	REVIEWED	1-49		-	-	OK	SHARD1
app/Http/Requests/Vendor/StoreProductRequest.php	BACKEND	requests	63	-	session	REVIEWED	1-63		-	-	OK	SHARD1
